customer_id,customer_name,industry,account_manager,subscription_start_date,subscription_end_date,subscription_status,plan_type,monthly_fee,user_count,last_login_date,monthly_active_users,feature_usage_score,retention_rate_6m,retention_rate_12m,churn_risk_score,last_success_touch_date,notes
MFG-PR_6748,MFGPro Solutions,Manufacturing,j.stone,2023-10-29,,active,Pro,492,55,2024-05-18,49,81.3,88.2,,0.17,2024-05-18,Manufacturing insights module drives engagement.
AUTO-BSC_9230,AutoEase Services,Automotive,,2024-01-05,,active,Basic,26.99,1,2024-05-20,1,29.8,,,0.51,2024-05-17,Minimal usage. No add-ons enabled.
TECH-ENT_1871,TechNova Global,Technology,n.ellis,2022-10-22,,active,Enterprise,3550,478,2024-05-18,455,94.8,98.1,97.6,0.05,2024-05-19,Custom integration completed. High engagement metrics.
FIN-PR_5643,FinEdge Advisory,Finance,d.zhao,2023-02-21,,active,Pro,521,47,2024-05-16,43,85.1,90.4,,0.17,2024-05-18,Financial modeling module adopted by all users.
EDU-PR_3086,Edutech Group,Education,j.owens,2023-12-08,,trial,Pro,0,11,2024-05-19,8,50.2,,,0.49,2024-05-19,Trial onboarding. Exploring reporting features.
TECH-TR_8125,TechStart Innovations,Technology,m.ryan,2024-05-03,,trial,Enterprise,0,20,2024-05-18,12,31.4,,,0.36,2024-05-18,Trial phase. Early adopter of analytics suite.
MEDIA-BSC_3164,MediaLink Studios,Media,,2023-11-18,,active,Basic,45.99,8,2024-05-20,6,53.6,,,0.36,2024-05-17,Media plan adopted for small studio operations.
PROF-PR_2576,ProfNet Global,Professional Services,g.meyer,2023-06-16,,active,Pro,484,53,2024-05-18,50,84.7,93.1,,0.16,2024-05-19,Professional plan supports project management needs.
SCI-PR_6105,SciReach Labs,Research,r.bailey,2023-04-24,,active,Pro,332,27,2024-05-16,22,71.9,78.8,,0.29,2024-05-17,Research data features highly used by team.
AUTO-PR_6204,AutoFleet Solutions,Automotive,c.evans,2023-08-02,,active,Pro,378,33,2024-05-18,29,76.5,83.7,,0.22,2024-05-19,Fleet tracking module in weekly use.
MEDIA-PR_3072,MediaLogic Agency,Media,r.ward,2023-07-16,,active,Pro,429,42,2024-05-18,39,78.3,85.2,,0.26,2024-05-19,"Regular campaign management, high platform stability."
PHARMA-TR_9281,PharmaLink Research,Pharmaceutical,k.ortiz,2024-05-13,,trial,Pro,0,12,2024-05-19,7,44.9,,,0.59,,Trial phase. Compliance module feedback pending.
SYNTECH-0001,Syntech Manufacturing Group,Manufacturing,j.martinez,2022-03-12,,active,Enterprise,3025.5,795,2024-06-04,751,95.2,97.9,95.1,0.07,2024-05-29,"Annual review completed, high engagement with reporting suite."
HEALTHPRO-2022,HealthPro Diagnostics,Healthcare,a.lee,2023-01-28,,active,Pro,480,33,2024-06-03,29,82.7,85.3,78.6,0.14,2024-05-30,"Strong adoption of workflow automation, possible Enterprise upgrade."
EDU-INSIGHT_0111,Edu Insight Alliance,Education,c.evans,2022-05-05,,active,Enterprise,1550,142,2024-06-04,134,97.6,99.1,96.7,0.03,2024-05-25,Custom integrations for student analytics highly rated.
AGRICORE-2024A,Agricore Farming Supplies,Agriculture,,2022-10-12,,active,Basic,41.99,8,2024-06-03,6,39.8,67.9,61.7,0.38,2024-05-28,"Low engagement, price-sensitive users, periodic login activity."
PETVET-0003,PetVet Veterinary Group,Veterinary,,2023-06-18,,active,Basic,29.99,4,2024-06-02,2,24.3,46.1,,0.55,2024-06-01,"Solo operator account, minimal support requests."
AERO-FUSION_2023,AeroFusion Technologies,Aerospace,l.williams,2022-09-20,,active,Enterprise,2780,650,2024-06-04,635,93.2,98.4,92.5,0.08,2024-05-30,"Annual review scheduled, positive feedback on security features."
PROSERV_0098,ProServ Consulting,Professional Services,m.taylor,2023-02-10,,active,Pro,540,51,2024-06-03,46,74.5,88.7,80.2,0.18,2024-05-31,"Campaign analytics used heavily, considering plan upgrade."
MEDIX-TEST_17,Medix Test Labs,Testing,,2023-04-04,,trial,Basic,0,5,2024-06-04,2,22.7,,,0.77,,"Pilot phase, integration pending, low overall engagement."
CLOUDX_2022A,CloudX Digital,Technology,r.jones,2022-06-13,,active,Enterprise,1200,110,2024-06-03,104,89.8,93.2,90.5,0.09,2024-05-30,"Custom reporting modules deployed, strong engagement trend."
TRANSLOGIC-TRN1,Translogic Transport,Transportation,s.harris,2023-03-22,,active,Pro,476,44,2024-06-03,39,79.3,81,,0.22,2024-05-29,"Fleet dashboard adoption strong, possible expansion."
ENERGEX-PLAT_77,Energex Platform Solutions,Energy,m.simmons,2022-07-20,,active,Enterprise,2020,300,2024-06-04,287,91.4,96.9,94.5,0.06,2024-05-26,"Engagement spike post-feature launch, zero churn risk."
MEDIAFLOW_0012,MediaFlow Network,Media,,2022-04-02,,active,Basic,39.99,10,2024-06-04,7,51.5,73.1,69.3,0.43,2024-05-30,"Standard plan, moderate engagement, price sensitive."
CONSTRUCT-PLUS_2021,ConstructPlus Engineering,Construction,b.meyer,2022-01-10,,active,Pro,420,38,2024-06-04,32,65.4,78.9,74.2,0.33,2024-05-31,"Moderate usage, evaluating premium analytics upgrade."
RETAILPRO-728A,RetailPro Outlets,Retail,,2022-08-19,,active,Basic,44.5,7,2024-06-03,5,36.2,62.7,59.4,0.51,2024-06-02,"Low engagement, periodic logins, considering plan downgrade."
BIOGENICS-ENT_120,Biogenics Research,Healthcare,r.hall,2022-04-15,,active,Enterprise,1650,130,2024-06-04,122,94.1,91.7,88.3,0.1,2024-06-01,"Zero churn risk, custom deployment for lab teams."
ADWORKS-PRO_33,AdWorks Solutions,Advertising,k.stevens,2023-09-04,,active,Pro,392,28,2024-06-04,26,70.8,74.9,,0.31,2024-06-02,"Campaign performance tools widely used, moderate engagement."
FINANCEHUB-002,FinanceHub Partners,Finance,d.carter,2023-05-15,,active,Pro,578,51,2024-06-03,45,87.5,91.2,81.5,0.09,2024-05-31,"Strong retention, advanced reporting suite enabled."
VETLAB-TRIAL_79,VetLab Innovations,Veterinary,e.smith,2024-03-21,,trial,Basic,0,2,2024-06-02,1,11,,,0.54,,"Early adopter, pending full onboarding."
ADV-MEDIA_3628,Advantage Media Group,Media,j.brown,2022-02-28,,active,Pro,395,29,2024-06-03,27,68.4,79.9,75.2,0.35,2024-05-28,"Moderate engagement, new campaign analytics module tested."
AGROTEST-TRIAL_23,AgroTest Solutions,Agriculture,,2024-05-01,,trial,Basic,0,3,2024-06-04,1,14.3,,,0.72,,"Demo phase, limited feature engagement."
PAUSED-TECH_44,PausedTech Solutions,Technology,f.murphy,2022-02-01,2023-12-31,paused,Pro,580,48,2023-12-31,0,0,0,0,0.97,2023-12-31,"Account paused after merger, zero activity since Q1."
TRIAL-RETAIL_50,Trial Retail Partners,Retail,p.white,2024-04-12,,trial,Pro,0,12,2024-06-03,8,23.5,,,0.68,,"Pilot group, initial feedback on product catalog features."
EXPIRED-AGRO_09,Expired AgroTech,Agriculture,,2021-06-19,2023-06-19,expired,Basic,39.99,7,2023-06-19,0,0,42.9,16.7,0.98,2023-06-19,"Account expired, low retention, minimal activity before end."
CANCELLED-ENERGY_22,Cancelled EnergyHub,Energy,g.hayes,2021-05-15,2023-05-15,cancelled,Pro,395,29,2023-05-15,0,0,55.2,0,1,2023-05-15,"Subscription cancelled post price increase, zero activity."
TRIAL-TECH_93,TrialTech Innovations,Technology,,2024-05-20,,trial,Enterprise,0,150,2024-06-03,30,19.8,,,0.61,,"Large pilot group, testing advanced modules."
PRO-SERV_TRIAL_54,ProServ Trial Group,Professional Services,t.hernandez,2024-04-02,,trial,Pro,0,18,2024-06-04,5,25.6,,,0.73,,"Trial period, moderate user testing, onboarding scheduled."
EXPIRED-MEDIA_72,Expired MediaFlow,Media,,2021-02-11,2023-02-11,expired,Basic,24.99,3,2023-02-11,0,0,30,0,1,2023-02-11,"Account expired, minimal engagement, zero activity post-expiry."
CANCELLED-EDU_91,Cancelled Edulink,Education,v.king,2020-03-08,2022-03-08,cancelled,Enterprise,1100,100,2022-03-08,0,0,62,34.1,0.99,2022-03-08,"Subscription cancelled after funding cuts, moderate retention."
EXPIRED-RETAIL_41,Expired RetailPro,Retail,,2020-10-10,2022-10-10,expired,Basic,24.99,2,2022-10-10,0,0,19,0,1,2022-10-10,"Account closed by solo operator, zero engagement last 6 months."
PAUSED-PROF_82,PausedPro Professionals,Professional Services,d.thompson,2021-09-30,2022-09-30,paused,Pro,530,44,2022-09-30,0,0,47.8,11.2,0.95,2022-09-30,"Account paused for strategic review, low retention."
CANCELLED-MANUF_64,Cancelled Manufactura,Manufacturing,y.foster,2020-07-15,2022-07-15,cancelled,Enterprise,1250,140,2022-07-15,0,0,71.8,23.4,0.95,2022-07-15,"Cancelled after merger, retention dropped sharply in last year."
PAUSED-AGRI_11,PausedAgri Solutions,Agriculture,,2021-04-09,2022-04-09,paused,Basic,21.99,2,2022-04-09,0,0,0,0,1,2022-04-09,"Minimal engagement, account paused after failed pilot."
TRIAL-FINANCE_15,Trial Finance Solutions,Finance,z.morris,2024-05-14,,trial,Pro,0,17,2024-06-03,6,29.7,,,0.53,,"Demo phase, onboarding scheduled next quarter."
ACTIVE-EDU_87,ActiveEdu Alliance,Education,g.garcia,2023-06-01,,active,Enterprise,1100,100,2024-06-03,98,88.7,92,,0.1,2024-06-02,"Annual renewal completed, positive feedback on student module."
ACTIVE-MANUF_43,ActiveManuf Technologies,Manufacturing,h.ramirez,2022-11-22,,active,Enterprise,1560,160,2024-06-04,155,96.5,98.7,95.4,0.05,2024-05-31,"High feature adoption, annual review scheduled."
ACTIVE-ENERGY_29,ActiveEnergy Systems,Energy,t.scott,2022-08-14,,active,Pro,550,52,2024-06-03,49,86.1,87.5,82.2,0.16,2024-05-30,"Strong engagement, advanced analytics module deployed."
ACTIVE-PROF_18,ActiveProf Consulting,Professional Services,b.wood,2023-01-04,,active,Pro,440,39,2024-06-03,37,76.2,82.1,77.9,0.26,2024-05-29,"Moderate engagement, onboarding new team members."
ACTIVE-RETAIL_61,ActiveRetail Stores,Retail,,2022-05-10,,active,Basic,26.99,2,2024-06-04,2,21.3,47.6,39.5,0.61,2024-05-29,"Solo operator, minimal engagement, periodic login activity."
ACTIVE-MEDIA_34,ActiveMedia Partners,Media,f.nguyen,2023-02-20,,active,Pro,495,55,2024-06-04,52,82.4,88.8,83.2,0.2,2024-06-01,"Strong engagement, high retention, new ad channels onboarded."
ACTIVE-AGRI_16,ActiveAgri Solutions,Agriculture,,2023-12-14,,active,Basic,22.99,1,2024-06-03,1,12.4,,,0.47,2024-05-28,"Minimal use, solo operator, onboarding new features."
ACTIVE-VET_22,ActiveVet Clinics,Veterinary,a.thomas,2022-10-21,,active,Basic,45,9,2024-06-04,8,37.9,68.2,61.3,0.39,2024-05-30,"Moderate engagement, new team member onboarding."
ACTIVE-FINANCE_39,ActiveFinance Partners,Finance,m.hernandez,2022-08-08,,active,Pro,599,55,2024-06-04,54,93.2,95.1,93.6,0.05,2024-06-03,"High engagement, advanced analytics widely used."
ACTIVE-ADWORKS_88,ActiveAdWorks Agency,Advertising,o.rodriguez,2023-09-18,,active,Pro,390,27,2024-06-04,25,75.5,89.1,82.7,0.19,2024-05-30,"Moderate engagement, onboarding new campaign team."
ACTIVE-CONSTRUCT_77,ActiveConstruct Engineering,Construction,s.morris,2022-03-11,,active,Pro,410,37,2024-06-03,34,73.3,80.5,75.4,0.24,2024-05-29,"Moderate usage, onboarding new project managers."
ACTIVE-TEST_12,ActiveTest Labs,Testing,,2023-06-25,,active,Basic,32.99,5,2024-06-03,4,25.6,55.7,,0.49,2024-06-01,"Solo operator, basic feature usage only."
ACTIVE-TRANSPORT_10,ActiveTransport Group,Transportation,w.clark,2022-07-05,,active,Pro,505,50,2024-06-03,48,85.2,90.9,87.4,0.12,2024-05-30,"Fleet dashboard adoption high, onboarding new drivers."
INTEGRA-HEALTH_004,Integra Health Group,Healthcare,j.cross,2022-07-19,,active,Enterprise,1920.5,322,2024-06-11,305,92.7,98.4,95.1,0.07,2024-06-12,"Annual review completed, custom integrations in use, engagement rising."
EDU-ADVANCE_2023,EduAdvance Solutions,Education,v.murphy,2023-02-16,,active,Pro,489.99,48,2024-06-13,44,81.2,83.9,,0.15,2024-05-28,"Usage spike after new feature rollout, considering Enterprise upgrade."
AGRO-RETAIL-06,AgroRetail Partners,Agriculture,,2023-09-11,,active,Basic,37.25,4,2024-06-14,2,14.5,,,0.58,2024-06-10,"Limited engagement, price sensitive. Solo operators, possible upgrade to Pro."
ALPHA-TECH_9912,AlphaTech Innovations,Technology,m.taylor,2021-11-03,,active,Enterprise,3670,912,2024-06-11,896,98.9,99.2,97.6,0.04,2024-06-13,"High engagement, annual review completed, custom reporting enabled."
CIVIL-BUILD_230,CivilBuild Solutions,Construction,r.lee,2024-03-12,,trial,Pro,0,17,2024-06-12,6,29.7,,,0.51,,"Pilot phase, integration delays reported, feedback cycle ongoing."
VET-MEDIA_0030,VetMedia Group,Veterinary,,2022-01-27,2024-05-20,expired,Basic,27,2,2024-05-20,0,0,13.5,0,0.97,2024-05-21,"Account expired after price increase, minimal engagement last quarter."
AERO-ENTERPRISE_211,AeroEnterprise Ltd,Aerospace,k.mason,2023-06-05,,active,Enterprise,2499,211,2024-06-11,197,88.3,91.4,,0.09,2024-06-13,"Custom integrations deployed, positive feedback on support response times."
